Class,Label,Accuracy,F1 Score,Precision,Recall,Positive Rate,Non-Zero Rate
176,Lesser Black-backed Gull,0.9978073971496163,0.0,0.0,0.0,0.002192603,0.0022677699684935776
177,Lesser Goldfinch,0.9997114996249495,0.0,0.0,0.0,0.00028850036,0.00041546930720493024
178,Lesser Scaup,0.6717442732675553,0.06936037951905774,0.03638235798867342,0.7412587412587412,0.016502222,0.017804590935844616
179,Lesser Yellowlegs,0.7187698344007847,0.07724346838318819,0.04046013486711622,0.85,0.013848018,0.01241214555274729
180,Limpkin,0.9974611966995557,0.0,0.0,0.0,0.0025388033,0.0024755046220960425
181,Lincoln's Sparrow,0.9997114996249495,0.0,0.0,0.0,0.00028850036,0.00036353564380431396
182,Little Blue Heron,0.7529282788067625,0.3192368839427663,0.20043920942303853,0.7837626854020296,0.0739138,0.06972094311532735
183,Loggerhead Shrike,0.665685765391495,0.2056484782012613,0.11887779362815026,0.7614213197969543,0.056834575,0.056140290136066195
184,Long-billed Curlew,0.9998845998499798,0.0,0.0,0.0,0.00011540015,9.521171623446318e-05
185,Long-billed Dowitcher,0.9966533956494144,0.0,0.0,0.0,0.0033466043,0.0028390402659003566
186,Long-tailed Duck,0.9996537995499394,0.0,0.0,0.0,0.00034620045,0.0002856351487033895
187,Louisiana Waterthrush,0.9939414921239398,0.08695652173913043,0.15151515151515152,0.06097560975609756,0.004731406,0.004466295052453
188,MacGillivray's Warbler,0.99994229992499,0.0,0.0,0.0,5.7700076e-05,8.65561056676938e-05
189,Magnificent Frigatebird,0.7313484507529859,0.04394250513347023,0.022583368509919797,0.8106060606060606,0.00761641,0.00851712079770107
190,Magnolia Warbler,0.7280018464024003,0.087141750580945,0.04592774035517452,0.8490566037735849,0.01529052,0.015017484333344874
191,Mallard,0.6947666031965841,0.18740399385560677,0.10817520837027841,0.7003444316877153,0.050256766,0.050618010594467334
192,Marbled Godwit,0.9806127747966072,0.3114754098360656,0.20430107526881722,0.6551724137931034,0.0066932086,0.0059896825122044105
193,Marsh Wren,0.7217702383013098,0.11555392516507704,0.06192254767053273,0.863013698630137,0.021060528,0.02066959803344528
194,Merlin,0.9896716865731926,0.05291005291005291,0.06944444444444445,0.042735042735042736,0.0067509087,0.006768687463213655
195,Mississippi Kite,0.6979401073221395,0.16706443914081145,0.09396814032575622,0.7521489971346705,0.040274654,0.04035245646227885
196,Monk Parakeet,0.9944030927240205,0.020202020202020204,0.25,0.010526315789473684,0.005481507,0.006647508915278884
197,Mottled Duck,0.719519935375916,0.08918868278058835,0.04703557312252964,0.8592057761732852,0.01598292,0.014896305785410104
198,Mourning Dove,0.6655703652414748,0.6201337003539127,0.6021382206949217,0.6392379408188082,0.42703825,0.42787279714711074
199,Muscovy Duck,0.6678206681668686,0.06191950464396285,0.03314724354501047,0.4691358024691358,0.02336853,0.022383408925665618
200,Mute Swan,0.9991344988748485,0.0,0.0,0.0,0.0008655011,0.0013069971955821764
201,Nashville Warbler,0.9991344988748485,0.0,0.0,0.0,0.0008655011,0.0007184156770418586
202,Nelson's Sparrow,0.9981535975996769,0.0,0.0,0.0,0.0018464024,0.0017051552816535677
203,Neotropic Cormorant,0.9978073971496163,0.0,0.0,0.0,0.002192603,0.0016705328393864904
204,Northern Bobwhite,0.6945358028965438,0.04681310767014764,0.024060707014621506,0.8609271523178808,0.008712712,0.00864695495620261
205,Northern Cardinal,0.7671801973342566,0.7833557046979865,0.7831454643048846,0.7835660580021482,0.5371877,0.5436935221410518
206,Northern Flicker,0.7145577289250477,0.19285364659814,0.11057062675397568,0.7538265306122449,0.04523686,0.04521690960080324
207,Northern Gannet,0.8785990421787548,0.06155218554861731,0.03244005641748942,0.6,0.0066355085,0.006768687463213655
208,Northern Harrier,0.7214817379262594,0.11771157009687443,0.06332350049164208,0.8341968911917098,0.02227223,0.02193331717619361
209,Northern House Wren,0.7103456234493105,0.17866492146596857,0.10215154349859681,0.711864406779661,0.044255957,0.04270678253644012
210,Northern Mockingbird,0.673936876117939,0.6505472759878795,0.652281746031746,0.6488220056741087,0.4677745,0.4643561956860437
211,Northern Parula,0.7262131440770873,0.21244813278008298,0.12307692307692308,0.7757575757575758,0.04760256,0.04706921026209189
212,Northern Pintail,0.9991344988748485,0.0,0.0,0.0,0.0008655011,0.0009001834989440155
213,Northern Rough-winged Swallow,0.6926317004212106,0.07340407027309097,0.0386801099908341,0.717687074829932,0.016963823,0.016566838624796593
214,Northern Shoveler,0.9916334891235359,0.1807909604519774,0.2857142857142857,0.1322314049586777,0.006981709,0.006387840598275803
215,Northern Waterthrush,0.7303098494028042,0.062199036918138044,0.03225806451612903,0.8659217877094972,0.010328313,0.010430010732957103
216,Olive-sided Flycatcher,0.9995960994749293,0.0,0.0,0.0,0.0004039005,0.0006405151819409341
217,Orange-crowned Warbler,0.692920200796261,0.2431740614334471,0.14678111587982834,0.7083678541839271,0.06964399,0.06768687463213655
218,Orchard Oriole,0.720154636201027,0.1345467523197716,0.07399411187438665,0.7406679764243614,0.029369337,0.030614894574663296
219,Osprey,0.7510818764064393,0.5290393013100436,0.3974737532808399,0.7907963446475196,0.17679302,0.17653983311982827
220,Ovenbird,0.7251168426518955,0.05288270377733598,0.027265272652726526,0.875,0.008770412,0.008698888619603226
221,Pacific Loon,0.9998268997749697,0.0,0.0,0.0,0.00017310023,0.00010386732680123256
222,Painted Bunting,0.7233858404015925,0.09513023782559456,0.05044035228182546,0.8344370860927153,0.017425423,0.019189488626527716
223,Palm Warbler,0.6914776989210086,0.17978217518024237,0.10362511052166225,0.6782407407407407,0.049852863,0.04888688848111346
224,Parasitic Jaeger,1.0,0.0,0.0,0.0,0.0,9.521171623446318e-05
225,Pectoral Sandpiper,0.9926143903987075,0.058823529411764705,0.15384615384615385,0.03636363636363636,0.006347008,0.005219333171761936
226,Peregrine Falcon,0.989383186198142,0.041666666666666664,0.0449438202247191,0.038834951456310676,0.005943108,0.00586850396426964
227,Philadelphia Vireo,0.9979804973746466,0.0,0.0,0.0,0.0020195027,0.0024235709586954263
228,Pied-billed Grebe,0.6735329755928683,0.192867332382311,0.1119205298013245,0.6969072164948453,0.055969074,0.052556867361423676
229,Pileated Woodpecker,0.7385609601292482,0.286119426500709,0.17200227315779504,0.850187265917603,0.06162368,0.0615673579614306
230,Pine Siskin,0.685188390744908,0.09877766765774694,0.0527336860670194,0.7786458333333334,0.022156829,0.022954679223072396
231,Pine Warbler,0.7109803242744216,0.37175467201806095,0.24338971916570865,0.7866242038216561,0.10870694,0.11005608835647267
232,Piping Plover,0.7730656049852865,0.06334841628959276,0.0327263779527559,0.9851851851851852,0.0077895103,0.00753903680365613
233,Prairie Warbler,0.7020945127228665,0.039799144504370464,0.020454979927356145,0.7328767123287672,0.008424211,0.008551743239968147
234,Prothonotary Warbler,0.7320985517281172,0.15994210240636875,0.08886208283071974,0.7992766726943942,0.031908143,0.03259702939445348
235,Purple Finch,0.7004212105475737,0.0935754189944134,0.04974016332590943,0.788235294117647,0.019618025,0.018523006612886472
236,Purple Gallinule,0.7037678148981593,0.058672533920058674,0.030303030303030304,0.9195402298850575,0.010039813,0.010559844891458644
237,Purple Martin,0.6753793779931914,0.23787591438634517,0.14529207347344034,0.655713218820015,0.0772604,0.07543364608939515
238,Red Junglefowl,0.9989036985748081,0.0,0.0,0.0,0.0010963015,0.0008309386144098605
239,Red Knot,0.9927297905487277,0.24096385542168675,0.2,0.30303030303030304,0.003808205,0.003557455942942215
